word,count
#,1
林俊傑,1
top30,1
歌曲,1

,1107
憑什麼,1
要,22
失望,1
藏,2
眼淚,7
到,11
心臟,5
往事,3
不會,14
說,76
謊別,1
跟,6
它,8
為,27
難,6
我們,47
兩人,1
之間,1
不,69
需要,10
這樣,11
 ,1
我,262
想,47
修煉,7
愛情,18
的,371
心酸,2
學會,4
放好,2
以前,5
渴望,5
那些,11
信仰,2
忘,7
記多難,2
遠距離,2
欣賞,2
近距,2
離,4
迷惘,2
誰,46
太陽會,2
找到,8
月亮,3
別人,2
有,76
愛我們,2
可能,8
模仿,2
悲歡,3
這些,3
努力,9
簡單,4
快樂煉,3
成淚,5
水是,3
一種,14
勇敢,7
幾,4
年前,4
幻想,4
幾年,4
後,37
原諒,6
一張,4
臉,12
去,21
養,4
一身,4
傷,4
別講,4
想念,6
我會,5
受不了,4
記憶,6
真囂,1
張路,1
燈,2
把,11
痛點亮,1
情人,2
一起,12
看過,4
多少,10
次,3
他,12
在,75
天空,4
遺忘,5
心慌,1
更,13
多,20
詳盡,5
歌詞,6
※,5
Mojim,5
.,5
com,5
　,37
魔鏡,5
歌,7
詞網,5
OH,3
~,11
笑,11
著,18
愛讓,5
人,22
瘋狂,1
哭,2
緊張,1
忘不了,1
那個,1
就,40
投降,1
假如,5
犯得,1
起,3
錯能,1
錯,10
都,60
錯過,1
應該,1
還來,1
得,10
及,1
悔過,1
沒,27
一切,15
破,2
那一場,1
小風,1
波將,1
一笑,1
帶過,1
感情,7
面前,2
講什麼,1
自我,7
過且,1
過才,1
好過,1
全都,4
怪,4
不該,3
沉默,17
時,5
該,12
時軟弱,3
如果,26
不是,10
我誤,3
會,23
自己,25
灑脫,3
讓,48
難過,8
可當,3
初,3
你,223
和,35
現,3
重來過,3
倘若,3
那天,7
話,14
好好,5
體諒,3
執著,7
不受,3
情緒,4
挑,4
撥,3
怎麼,13
做,5
那麼,5
可惜,4
只,14
剩下,5
結果,2
早點,1
了解,1
那,12
率性,1
或者,2
晚一點,1
遇上,1
成熟,1
不過,3
oh,1
沒有,7
這,11
一首,5
不為,2
而,7
作,2
感覺,12
上,5
彷,2
彿,2
窗外,2
夜色,5
曾經,2
那一刻,2
回頭,3
竟然,2
認,2
不得,3
從,13
再,19
摸索,2
他們,2
關心,5
地方,3
走過,3
請,5
等一等,1
夢為,3
澆,3
了,68
水愛在,3
背,17
往前,5
推,3
當我,3
抬起,3
頭才,3
發覺,8
是不是,4
累到,3
整夜,3
不能,9
睡,7
哪裡,3
是,61
美,6
一定,7
有個,4
她,24
躲過,3
避過,3
閃,6
過瞞過,3
Ya,1
也,37
許在,1
真,1
實面,2
對,28
才,23
不顧,1
探究,1
當初,4
害怕,16
面對,2
他靜,2
悄悄地,2
來過,2
慢慢,10
帶,9
走,19
只是,27
最後的,2
承諾,5
還是,20
寂寞,12
愛的,9
美麗,4
獨秀,2
太,8
折磨,2
無所謂,5
只要,4
能,26
夜裡,3
翻來,2
覆去,2
時候,11
寄,2
託,2
等,16
不到,15
天黑,7
煙火,3
完美,9
回憶,9
燒成,3
灰,3
結尾,3
曾,6
怕,6
一天,20
被,31
摧毀,3
不敢,3
凋謝,3
花蕾,3
綠葉,5
隨放開,3
刺痛,3
滋味,3
今,3
不再,3
天明,4
清醒,4
不怕,4
痛苦,3
心疼,4
解決,2
擋開,1
流言,1
緊握,1
手,12
想飛,1
奔,1
相信,8
愛能,1
證明,1
夠,2
真心,8
超越,1
時間,11
付出,1
喜悦,1
幸福,8
蔓延,1
總是,3
學不會,6
再聰明,2
一點,3
記得,6
保護,3
必要,2
講些,2
善意,2
謊言,2
真愛也,1
有現,1
情願,1
能夠,2
一次,5
爭吵,1
一個,16
心結,1
累積,3
改變,6
内心,1
疏遠,1
足夠,1
秒,1
殺,1
外表,2
濃烈,1
發現,4
愛不,1
代表,2
阻絕,1
世界,12
天天,5
詭雷,1
隨時會,1
爆裂,1
少,1
浪漫,5
拼命,2
著想,1
事,1
未必,1
帶來,1
感動,2
或,5
感謝,1
解釋,1
最傷,1
最累,1
痛死,1
不願,1
每段,1
癡,2
情苦戀,1
此刻,1
排列,1
埋怨,3
只懷念,1
覺得,2
愛,17
值得,3
沉醉,1
流淚,1
