word,count
#,1
JAY,595
 ,1105
chou,1

,1436
塞納,2
河畔,2
左岸,2
的,513
咖啡,5
手,23
一杯,2
品嚐,2
你,251
美,6
留下,4
唇,4
印,4
嘴,7
花店,2
玫瑰,3
名字,3
寫錯,2
誰,19
告白,3
氣球,3
風吹到,2
對,28
街,3
微笑,13
在,142
天上,2
飛,6
說,91
有點,3
難,10
追,4
想,59
讓,42
知難,2
而,33
退,5
禮物,2
不,78
需,2
挑,2
最貴,2
只要,2
香榭,2
落葉,7
營造,2
浪漫,2
約,2
會,54
害怕,5
搞砸,2
一切,6
擁有,7
就,64
全世界,2
親愛的,6
愛上,4
從,13
那天,5
起,8
甜蜜,4
很,40
輕易,4
別,6
任性,4
眼睛,5
願意,3
戀愛日記,1
飄,9
香水,1
回憶,17
一整瓶,1
夢境,1
全都,1
有,58
攪拌,1
一起,15
假裝,3
們,28
還在,10
一塊,1
真的,8
演,1
不出,2
來,21
還是,18
不習,1
慣,1
這,23
身份,1
轉變,1
太快,13
畫面裡,1
需要,4
旁白,1
卻,51
都,47
看,21
出來,13
是,60
情緒,8
湧,1
了,164
上來,1
哭,6
一遍,5
空白,4
雪地,2
裡相愛,2
他們,2
零下,2
已,26
結晶,2
誓言,2
不會壞,2
但愛的,2
狀態,2
不會永遠,2
冰封,2
透明,4
存在,4
輕輕,4
落下,2
許下,2
夢,13
融化,2
或許,4
不該,13
醒,2
住,5
回憶裡,8
離開,36
故事,12
留,2
下來,4
放手,10
後,35
愛,57
依然,2
雪融,2
應該,8
花開,5
緣若,2
盡,2
該,9
再,58
重來,3
依舊,6
將你,7
交給,2
下個,2
最愛,2
糾纏,2
與,9
（,12
Oh,2
）,12
固執,2
等待,9
反而,4
另,2
一種,5
傷害,10
彼此,5
緊握,2
鬆,2
開,7
去,20
擁抱,7
更,18
多,49
未來,3
錯過,7
時間,14
怎,1
麼,1
買,1
付,1
學會,2
釋懷,5
過去,4
安靜,9
糖果,2
罐裡,2
好多,2
顏色,3
甜,2
某些,2
快樂,6
沒,32
時刻,5
中古,2
世紀,2
城市,2
裡,9
走,42
到,13
海鷗,2
不再,8
眷戀,2
大海,2
可以,4
遠,18
遠方,3
傳來,2
風笛,2
只,12
在意,2
消息,3
城堡,5
為,39
愛守著,2
秘密,6
守,2
著,65
明明,7
習慣,4
牽手,4
為何,2
主動,3
把手,2
勾,2
心事,6
太,12
不會,6
戳破,2
他,10
比,15
較,13
溫柔,5
也,47
許他,3
能給,3
不用,9
抉擇,3
自動變,3
朋友,3
親吻,4
還靠,4
的頭,4
躺,6
胸口,8
那個,6
人,26
不是,14
這些,6
平常,4
舉動現,4
叫做,5
難過,12
喔,16
～,17
日子,6
開始過,4
照樣過,4
難受,4
默默,8
接受,7
反正,6
時,7
開心過,4
足夠,4
溫暖,4
冷漠,4
愛起,4
霧,4
如果,8
愛心畫,4
起霧,4
窗,5
模糊,4
清楚,6
算,12
什麼,32
男人,30
算什麼,12
眼睜睜,6
她,28
不聞,6
不問,6
天真,6
就別,6
硬,6
撐,6
期待,10
挽回,13
拱手,6
還愛著,6
不敢,7
叫,13
等,31
沒差,8
繼續,10
認份,6
遇到,6
更好,6
竹籬,1
上,15
停留,1
蜻蜓,4
玻璃瓶,1
裡插滿,1
小小,1
森林,2
青春,2
嫩,1
綠,3
鮮明,1
百葉窗,2
折射,2
光影,2
